"","Date","Country","Country_code","WHO_region","New_cases","Cases","New_deaths","Deaths"
"1",2020-01-05,"Total","T","World",0,2,0,3
"2",2020-01-12,"Total","T","World",45.3333333333333,47,2,4
"3",2020-01-19,"Total","T","World",91.6666666666667,137,4,6
"4",2020-01-26,"Total","T","World",1909,2032,56,62
"5",2020-02-02,"Total","T","World",12543.9,14570,310,372
"6",2020-02-09,"Total","T","World",23101.9,37629,549.833333333333,917
"7",2020-02-16,"Total","T","World",31924.2333333333,69363,870.666666666667,1781
"8",2020-02-23,"Total","T","World",9819.23333333333,78941,710.166666666667,2473
"9",2020-03-01,"Total","T","World",8647.48333333333,87213,542.333333333333,2992
"10",2020-03-08,"Total","T","World",20349.4,107420,671.25,3642
"11",2020-03-15,"Total","T","World",60702.2166666667,167866,2662.16666666667,6296
"12",2020-03-22,"Total","T","World",171564.2,339186,9715.75,15994
"13",2020-03-29,"Total","T","World",351789.183333333,690664,22305,38279
"14",2020-04-05,"Total","T","World",466738.5,1156926,36868.5833333333,75126
"15",2020-04-12,"Total","T","World",524770.714285714,1681285,47832.9619047619,122801
"16",2020-04-19,"Total","T","World",507550.344155844,2188291,50126.2819966583,172760
"17",2020-04-26,"Total","T","World",540847.485930736,2728559,45177.2687552214,217169
"18",2020-05-03,"Total","T","World",546300.497402597,3274197,41250.7417872332,258299
"19",2020-05-10,"Total","T","World",582270.717207792,3855730,39038.1564128123,297222
"20",2020-05-17,"Total","T","World",610748.615050891,4466320,36276.8234803939,333387
"21",2020-05-24,"Total","T","World",696882.596227323,5163036,34855.7026691875,368135
"22",2020-05-31,"Total","T","World",729164.863118041,5892039,33467.9199532193,401503
"23",2020-06-07,"Total","T","World",844834.578421458,6736701,34998.3586658225,436385
"24",2020-06-14,"Total","T","World",902880.555629636,7639351,35393.3251562034,471661
"25",2020-06-21,"Total","T","World",1031610.76617115,8670763,37536.34720214,509110
"26",2020-06-28,"Total","T","World",1158605.89337933,9828880,36865.3942480765,545839
"27",2020-07-05,"Total","T","World",1328997.20619356,11157527,36488.9894421612,582207
"28",2020-07-12,"Total","T","World",1429393.2690078,12586577,38920.6124140236,621002
"29",2020-07-19,"Total","T","World",1574552.27879174,14160732,42681.126294977,663561
"30",2020-07-26,"Total","T","World",1743314.25286139,15903603,44914.2235092636,708345
"31",2020-08-02,"Total","T","World",1839410.07216914,17742839,44900.4207235503,753170
"32",2020-08-09,"Total","T","World",1838849.11773951,19581503,45803.9802754994,798859
"33",2020-08-16,"Total","T","World",1885554.8338227,21466779,44817.9580203666,843547
"34",2020-08-23,"Total","T","World",1823630.79990589,23290301,42843.7538207893,886258
"35",2020-08-30,"Total","T","World",1875394.03265575,25165529,41584.3067935547,927721
"36",2020-09-06,"Total","T","World",1985129.76540561,27150575,40104.0597663201,967721
"37",2020-09-13,"Total","T","World",1965337.41482213,29106967,43349.0413105141,1010963
"38",2020-09-20,"Total","T","World",2096122.39757199,31202990,39165.9672991525,1050005
"39",2020-09-27,"Total","T","World",2104334.88032185,33307020,37825.0932877909,1087723
"40",2020-10-04,"Total","T","World",2133221.14084949,35440144,37671.2311811912,1125294
"41",2020-10-11,"Total","T","World",2365287.23471046,37805306,38217.2857412582,1163420
"42",2020-10-18,"Total","T","World",2598443.97857143,40403582,38183.8819679919,1201507
"43",2020-10-25,"Total","T","World",3091041.08409248,43494480,43112.3115280589,1244522
"44",2020-11-01,"Total","T","World",3526821.88961353,47021121,49745.2077547925,1294020
"45",2020-11-08,"Total","T","World",3860481.02846791,50878709,59189.8956481928,1353071
"46",2020-11-15,"Total","T","World",4052759.00065562,54927956,65565.9748114344,1418493
"47",2020-11-22,"Total","T","World",4111139.53534334,59038769,73653.3952445173,1491968
"48",2020-11-29,"Total","T","World",4022674.40336439,63060916,76281.0849083693,1568145
"49",2020-12-06,"Total","T","World",4201750.96027433,67261755,79587.0942691911,1647590
"50",2020-12-13,"Total","T","World",4394961.51718426,71656236,82594.4202966796,1730052
"51",2020-12-20,"Total","T","World",4542976.24076087,76198668,85804.0796575014,1815742
"52",2020-12-27,"Total","T","World",4120665.46433747,80316790,81914.6458810683,1897533
"53",2021-01-03,"Total","T","World",4248828.68791408,84563431,86386.2577395558,1983832
"54",2021-01-10,"Total","T","World",5008316.82815735,89571049,92442.7286760024,2076183
"55",2021-01-17,"Total","T","World",4854084.96840062,94424368,101070.332292188,2177153
"56",2021-01-24,"Total","T","World",4227912.66661491,98651492,103828.269241706,2280872
"57",2021-01-31,"Total","T","World",3736877.36482919,102387423,100774.179875435,2381533
"58",2021-02-07,"Total","T","World",3166767.41304348,105552902,89410.4348074096,2470825
"59",2021-02-14,"Total","T","World",2721775.67554348,108273716,81595.3587870033,2552321
"60",2021-02-21,"Total","T","World",2476087.43804348,110747980,68556.834714649,2620757
"61",2021-02-28,"Total","T","World",2662552.70054348,113409456,64126.6439756279,2684763
"62",2021-03-07,"Total","T","World",2738697.45351967,116147027,60616.7503380561,2745246
"63",2021-03-14,"Total","T","World",2970406.77581404,119110270,60922.2207355721,2805933
"64",2021-03-21,"Total","T","World",3329680.69810841,122438591,63333.0577997547,2869116
"65",2021-03-28,"Total","T","World",3833068.62040279,126271101,69244.6372881798,2938202
"66",2021-04-04,"Total","T","World",4114072.76733484,130384976,75590.4373754504,3013637
"67",2021-04-11,"Total","T","World",4559754.28093356,134944050,80570.8547246258,3094016
"68",2021-04-18,"Total","T","World",5233572.78626519,140176885,86101.3554071346,3179926
"69",2021-04-25,"Total","T","World",5696196.43445396,145872875,91608.4060896433,3271357
