"","Country","Year","pop"
"1","Afghanistan",2020,38972230
"2","Afghanistan",2021,40099462
"3","Afghanistan",2022,41128771
"4","Afghanistan",2023,42239854
"5","Afghanistan",2024,43372950
"6","Albania",2020,2837849
"7","Albania",2021,2811666
"8","Albania",2022,2777689
"9","Albania",2023,2832439
"10","Albania",2024,2826020
"11","Algeria",2020,43451666
"12","Algeria",2021,44177969
"13","Algeria",2022,44903225
"14","Algeria",2023,45606480
"15","Algeria",2024,46278751
"16","American Samoa",2020,46189
"17","American Samoa",2021,45035
"18","American Samoa",2022,44273
"19","American Samoa",2023,43914
"20","American Samoa",2024,43544
"21","Andorra",2020,77700
"22","Andorra",2021,79034
"23","Andorra",2022,79824
"24","Andorra",2023,80088
"25","Andorra",2024,80341
"26","Angola",2020,33428486
"27","Angola",2021,34503774
"28","Angola",2022,35588987
"29","Angola",2023,36684202
"30","Angola",2024,37804634
"31","Antigua and Barbuda",2020,92664
"32","Antigua and Barbuda",2021,93219
"33","Antigua and Barbuda",2022,93763
"34","Antigua and Barbuda",2023,94298
"35","Antigua and Barbuda",2024,94816
"36","Argentina",2020,45376763
"37","Argentina",2021,45808747
"38","Argentina",2022,46234830
"39","Argentina",2023,45773884
"40","Argentina",2024,46057866
"41","Armenia",2020,2805608
"42","Armenia",2021,2790974
"43","Armenia",2022,2780469
"44","Armenia",2023,2777970
"45","Armenia",2024,2777979
"46","Aruba",2020,106585
"47","Aruba",2021,106537
"48","Aruba",2022,106445
"49","Aruba",2023,106277
"50","Aruba",2024,106177
"51","Australia",2020,25649248
"52","Australia",2021,25685412
"53","Australia",2022,26005540
"54","Australia",2023,26439111
"55","Australia",2024,26699482
"56","Austria",2020,8916864
"57","Austria",2021,8955797
"58","Austria",2022,9041851
"59","Austria",2023,8958960
"60","Austria",2024,8977139
"61","Azerbaijan",2020,10093121
"62","Azerbaijan",2021,10137750
"63","Azerbaijan",2022,10141756
"64","Azerbaijan",2023,10412651
"65","Azerbaijan",2024,10462904
"66","Bahrain",2020,1477469
"67","Bahrain",2021,1463265
"68","Bahrain",2022,1472233
"69","Bahrain",2023,1485509
"70","Bahrain",2024,1498712
"71","Bangladesh",2020,167420951
"72","Bangladesh",2021,169356251
"73","Bangladesh",2022,171186372
"74","Bangladesh",2023,172954319
"75","Bangladesh",2024,174701211
"76","Barbados",2020,280693
"77","Barbados",2021,281200
"78","Barbados",2022,281635
"79","Barbados",2023,281995
"80","Barbados",2024,282309
"81","Belarus",2020,9379952
"82","Belarus",2021,9302585
"83","Belarus",2022,9228071
"84","Belarus",2023,9498238
"85","Belarus",2024,9455037
"86","Belgium",2020,11538604
"87","Belgium",2021,11586195
"88","Belgium",2022,11685814
"89","Belgium",2023,11686140
"90","Belgium",2024,11715774
"91","Belize",2020,394921
"92","Belize",2021,400031
"93","Belize",2022,405272
"94","Belize",2023,410825
"95","Belize",2024,416656
"96","Benin",2020,12643123
"97","Benin",2021,12996895
"98","Benin",2022,13352864
"99","Benin",2023,13712828
"100","Benin",2024,14080072
"101","Bermuda",2020,63893
"102","Bermuda",2021,63764
"103","Bermuda",2022,63532
"104","Bermuda",2023,64069
"105","Bermuda",2024,63935
"106","Bhutan",2020,772506
"107","Bhutan",2021,777486
"108","Bhutan",2022,782455
"109","Bhutan",2023,787424
"110","Bhutan",2024,792382
"111","Bolivia",2020,11936162
"112","Bolivia",2021,12079472
"113","Bolivia",2022,12224110
"114","Bolivia",2023,12388571
"115","Bolivia",2024,12567336
"116","Bosnia and Herzegovina",2020,3318407
"117","Bosnia and Herzegovina",2021,3270943
"118","Bosnia and Herzegovina",2022,3233526
"119","Bosnia and Herzegovina",2023,3210847
"120","Bosnia and Herzegovina",2024,3194378
"121","Botswana",2020,2546402
"122","Botswana",2021,2588423
"123","Botswana",2022,2630296
"124","Botswana",2023,2675352
"125","Botswana",2024,2719694
"126","Brazil",2020,213196304
"127","Brazil",2021,214326223
"128","Brazil",2022,215313498
"129","Brazil",2023,216422446
"130","Brazil",2024,217637297
