Series Name,"Country Name","2020","2021","2022"
"Population, total","Afghanistan","38972230","40099462","41128771"
"Population, total","Albania","2837849","2811666","2777689"
"Population, total","Algeria","43451666","44177969","44903225"
"Population, total","American Samoa","46189","45035","44273"
"Population, total","Andorra","77700","79034","79824"
"Population, total","Angola","33428486","34503774","35588987"
"Population, total","Antigua and Barbuda","92664","93219","93763"
"Population, total","Argentina","45376763","45808747","46234830"
"Population, total","Armenia","2805608","2790974","2780469"
"Population, total","Aruba","106585","106537","106445"
"Population, total","Australia","25649248","25685412","26005540"
"Population, total","Austria","8916864","8955797","9041851"
"Population, total","Azerbaijan","10093121","10137750","10141756"
"Population, total","Bahamas, The","406471","407906","409984"
"Population, total","Bahrain","1477469","1463265","1472233"
"Population, total","Bangladesh","167420951","169356251","171186372"
"Population, total","Barbados","280693","281200","281635"
"Population, total","Belarus","9379952","9302585","9228071"
"Population, total","Belgium","11538604","11586195","11685814"
"Population, total","Belize","394921","400031","405272"
"Population, total","Benin","12643123","12996895","13352864"
"Population, total","Bermuda","63893","63764","63532"
"Population, total","Bhutan","772506","777486","782455"
"Population, total","Bolivia","11936162","12079472","12224110"
"Population, total","Bosnia and Herzegovina","3318407","3270943","3233526"
"Population, total","Botswana","2546402","2588423","2630296"
"Population, total","Brazil","213196304","214326223","215313498"
"Population, total","British Virgin Islands","30910","31122","31305"
"Population, total","Brunei Darussalam","441725","445373","449002"
"Population, total","Bulgaria","6934015","6877743","6465097"
"Population, total","Burkina Faso","21522626","22100683","22673762"
"Population, total","Burundi","12220227","12551213","12889576"
"Population, total","Cabo Verde","582640","587925","593149"
"Population, total","Cambodia","16396860","16589023","16767842"
"Population, total","Cameroon","26491087","27198628","27914536"
"Population, total","Canada","38007166","38226498","38929902"
"Population, total","Cayman Islands","67311","68136","68706"
"Population, total","Central African Republic","5343020","5457154","5579144"
"Population, total","Chad","16644701","17179740","17723315"
"Population, total","Channel Islands","171113","172683","174079"
"Population, total","Chile","19300315","19493184","19603733"
"Population, total","China","1411100000","1412360000","1412175000"
"Population, total","Colombia","50930662","51516562","51874024"
"Population, total","Comoros","806166","821625","836774"
"Population, total","Congo, Dem. Rep.","92853164","95894118","99010212"
"Population, total","Congo, Rep.","5702174","5835806","5970424"
"Population, total","Costa Rica","5123105","5153957","5180829"
"Population, total","Cote d'Ivoire","26811790","27478249","28160542"
"Population, total","Croatia","4047680","3879000","3855600"
"Population, total","Cuba","11300698","11256372","11212191"
"Population, total","Curacao","154947","152369","149996"
"Population, total","Cyprus","1237537","1244188","1251488"
"Population, total","Czechia","10697858","10505772","10672118"
"Population, total","Denmark","5831404","5856733","5903037"
"Population, total","Djibouti","1090156","1105557","1120849"
"Population, total","Dominica","71995","72412","72737"
"Population, total","Dominican Republic","10999664","11117873","11228821"
"Population, total","Ecuador","17588595","17797737","18001000"
"Population, total","Egypt, Arab Rep.","107465134","109262178","110990103"
"Population, total","El Salvador","6292731","6314167","6336392"
"Population, total","Equatorial Guinea","1596049","1634466","1674908"
"Population, total","Eritrea","3555868","3620312","3684032"
"Population, total","Estonia","1329522","1330932","1348840"
"Population, total","Eswatini","1180655","1192271","1201670"
"Population, total","Ethiopia","117190911","120283026","123379924"
"Population, total","Faroe Islands","52415","52889","53090"
"Population, total","Fiji","920422","924610","929766"
"Population, total","Finland","5529543","5541017","5556106"
"Population, total","France","67571107","67764304","67971311"
"Population, total","French Polynesia","301920","304032","306279"
"Population, total","Gabon","2292573","2341179","2388992"
"Population, total","Gambia, The","2573995","2639916","2705992"
"Population, total","Georgia","3722716","3708610","3712502"
"Population, total","Germany","83160871","83196078","83797985"
"Population, total","Ghana","32180401","32833031","33475870"
"Population, total","Gibraltar","32709","32669","32649"
"Population, total","Greece","10698599","10569207","10426919"
"Population, total","Greenland","56367","56653","56661"
"Population, total","Grenada","123663","124610","125438"
"Population, total","Guam","169231","170534","171774"
"Population, total","Guatemala","16858333","17109746","17357886"
"Population, total","Guinea","13205153","13531906","13859341"
"Population, total","Guinea-Bissau","2015828","2060721","2105566"
"Population, total","Guyana","797202","804567","808726"
"Population, total","Haiti","11306801","11447569","11584996"
"Population, total","Honduras","10121763","10278345","10432860"
"Population, total","Hong Kong SAR, China","7481000","7413100","7346100"
"Population, total","Hungary","9750149","9709891","9643048"
"Population, total","Iceland","366463","372520","382003"
"Population, total","India","1396387127","1407563842","1417173173"
"Population, total","Indonesia","271857970","273753191","275501339"
"Population, total","Iran, Islamic Rep.","87290193","87923432","88550570"
"Population, total","Iraq","42556984","43533592","44496122"
"Population, total","Ireland","4985382","5033164","5127170"
"Population, total","Isle of Man","84046","84263","84519"
"Population, total","Israel","9215100","9371400","9557500"
"Population, total","Italy","59438851","59133173","58940425"
"Population, total","Jamaica","2820436","2827695","2827377"
"Population, total","Japan","126261000","125681593","125124989"
"Population, total","Jordan","10928721","11148278","11285869"
"Population, total","Kazakhstan","18755666","19000988","19621972"
"Population, total","Kenya","51985780","53005614","54027487"
"Population, total","Kiribati","126463","128874","131232"
"Population, total","Korea, Dem. People's Rep.","25867467","25971909","26069416"
"Population, total","Korea, Rep.","51836239","51744876","51628117"
"Population, total","Kosovo","1790133","1786038","1761985"
"Population, total","Kuwait","4360444","4250114","4268873"
"Population, total","Kyrgyz Republic","6579900","6773400","6974900"
"Population, total","Lao PDR","7319399","7425057","7529475"
"Population, total","Latvia","1900449","1884490","1879383"
"Population, total","Lebanon","5662923","5592631","5489739"
"Population, total","Lesotho","2254100","2281454","2305825"
"Population, total","Liberia","5087584","5193416","5302681"
"Population, total","Libya","6653942","6735277","6812341"
"Population, total","Liechtenstein","38756","39039","39327"
"Population, total","Lithuania","2794885","2800839","2831639"
"Population, total","Luxembourg","630419","640064","653103"
"Population, total","Macao SAR, China","676283","686607","695168"
"Population, total","Madagascar","28225177","28915653","29611714"
"Population, total","Malawi","19377061","19889742","20405317"
"Population, total","Malaysia","33199993","33573874","33938221"
"Population, total","Maldives","514438","521457","523787"
"Population, total","Mali","21224040","21904983","22593590"
"Population, total","Malta","515332","518536","531113"
"Population, total","Marshall Islands","43413","42050","41569"
"Population, total","Mauritania","4498604","4614974","4736139"
"Population, total","Mauritius","1266014","1266334","1262523"
"Population, total","Mexico","125998302","126705138","127504125"
"Population, total","Micronesia, Fed. Sts.","112106","113131","114164"
"Population, total","Moldova","2635130","2595809","2538894"
"Population, total","Monaco","36922","36686","36469"
"Population, total","Mongolia","3294335","3347782","3398366"
"Population, total","Montenegro","621306","619211","617213"
"Population, total","Morocco","36688772","37076584","37457971"
"Population, total","Mozambique","31178239","32077072","32969518"
"Population, total","Myanmar","53423198","53798084","54179306"
"Population, total","Namibia","2489098","2530151","2567012"
"Population, total","Nauru","12315","12511","12668"
"Population, total","Nepal","29348627","30034989","30547580"
"Population, total","Netherlands","17441500","17533044","17700982"
"Population, total","New Caledonia","271080","270390","269220"
"Population, total","New Zealand","5090200","5111400","5124100"
"Population, total","Nicaragua","6755895","6850540","6948392"
"Population, total","Niger","24333639","25252722","26207977"
"Population, total","Nigeria","208327405","213401323","218541212"
"Population, total","North Macedonia","2072531","2065092","2057679"
"Population, total","Northern Mariana Islands","49587","49481","49551"
"Population, total","Norway","5379475","5408320","5457127"
"Population, total","Oman","4543399","4520471","4576298"
"Population, total","Pakistan","227196741","231402117","235824862"
"Population, total","Palau","17972","18024","18055"
"Population, total","Panama","4294396","4351267","4408581"
"Population, total","Papua New Guinea","9749640","9949437","10142619"
"Population, total","Paraguay","6618695","6703799","6780744"
"Population, total","Peru","33304756","33715471","34049588"
"Population, total","Philippines","112190977","113880328","115559009"
"Population, total","Poland","37899070","37747124","36821749"
"Population, total","Portugal","10297081","10361831","10409704"
"Population, total","Puerto Rico","3281557","3262693","3221789"
"Population, total","Qatar","2760385","2688235","2695122"
"Population, total","Romania","19265250","19122059","19047009"
"Population, total","Russian Federation","144073139","144130482","144236933"
"Population, total","Rwanda","13146362","13461888","13776698"
"Population, total","Samoa","214929","218764","222382"
"Population, total","San Marino","34007","33745","33660"
"Population, total","Sao Tome and Principe","218641","223107","227380"
"Population, total","Saudi Arabia","35997107","35950396","36408820"
"Population, total","Senegal","16436120","16876720","17316449"
"Population, total","Serbia","6899126","6834326","6664449"
"Population, total","Seychelles","98462","99258","119878"
"Population, total","Sierra Leone","8233970","8420641","8605718"
"Population, total","Singapore","5685807","5453566","5637022"
"Population, total","Sint Maarten (Dutch part)","42310","42668","42848"
"Population, total","Slovak Republic","5458827","5447247","5431752"
"Population, total","Slovenia","2102419","2108079","2111986"
"Population, total","Solomon Islands","691191","707851","724273"
"Population, total","Somalia","16537016","17065581","17597511"
"Population, total","South Africa","58801927","59392255","59893885"
"Population, total","South Sudan","10606227","10748272","10913164"
"Population, total","Spain","47365655","47415794","47778340"
"Population, total","Sri Lanka","21919000","22156000","22181000"
"Population, total","St. Kitts and Nevis","47642","47606","47657"
"Population, total","St. Lucia","179237","179651","179857"
"Population, total","St. Martin (French part)","32553","31948","31791"
"Population, total","St. Vincent and the Grenadines","104632","104332","103948"
"Population, total","Sudan","44440486","45657202","46874204"
"Population, total","Suriname","607065","612985","618040"
"Population, total","Sweden","10353442","10415811","10486941"
"Population, total","Switzerland","8638167","8704546","8775760"
"Population, total","Syrian Arab Republic","20772595","21324367","22125249"
"Population, total","Tajikistan","9543207","9750064","9952787"
"Population, total","Tanzania","61704518","63588334","65497748"
"Population, total","Thailand","71475664","71601103","71697030"
"Population, total","Timor-Leste","1299995","1320942","1341296"
"Population, total","Togo","8442580","8644829","8848699"
"Population, total","Tonga","105254","106017","106858"
"Population, total","Trinidad and Tobago","1518147","1525663","1531044"
"Population, total","Tunisia","12161723","12262946","12356117"
